Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Belgium,2.402833006,98.30268278,41.80695703,20.56377513,14.34727126,0.399366817,2.391334403,0.059025913,62.7893439,128.4118296,7.389799209,16.33973538,174.5737921,152.1413642,65.63907103
Bulgaria,50.47242718,19.54218405,18.23232183,29.49618508,-27.7133286,0.11858903,1.197747703,0.034402664,24.11058713,138.9247007,1.99810657,18.92374818,88.67905014,160.2162786,25.46132653
Czechia,18.13699273,5.51539017,18.97476619,21.8310946,22.28561122,0.087551223,1.807052771,0.086855814,36.22575434,288.0331122,29.39507788,28.89550873,84.76239511,346.3236988,38.20721416
Denmark,0.235390585,255.4674433,19.27170688,53.70207385,21.06151937,2.280317778,4.395030549,0,46.18114777,213.1274968,273.2776749,59.60593812,343.0627858,547.6701311,52.85649609
Germany,20.75619983,131.5836404,51.01887767,11.28019734,40.7131471,0.588546308,4.875677274,0,35.61246852,164.8076671,25.02057399,18.45227361,249.8878389,208.4111142,37.93547351
Estonia,1.693488781,47.22258135,22.86360259,109.8994102,4.837060923,0.239751173,0.185953279,0,43.21583558,319.0062463,263.9617907,75.43830007,186.0904394,658.3862857,43.64154003
Greece,40.40921594,82.12742256,42.28096235,0.34118005,3.678426928,0.024119972,0.419892357,0,15.05399667,109.6625822,0,40.89258651,168.3931955,151.0445811,15.498009
Spain,55.91857953,109.4145201,49.15765293,8.890754191,3.394942017,0.237690816,2.097112114,0.152122122,32.69888464,86.69639978,0,22.62687258,224.2895236,109.3891885,35.18580969
France,78.63017152,48.93934445,19.99427051,5.482612044,7.844770144,0.225654931,2.228292905,0.252708527,42.83089933,142.4314007,29.04390029,53.736008,158.1845124,226.8262465,45.5375557
Croatia,144.3597484,44.35271902,3.171944846,14.0511405,11.28820399,0.075296792,2.535698993,0.406178467,22.59314076,291.4593099,27.96044766,3.953321187,214.2065825,323.4869406,25.610315
Ireland,13.08446646,185.3704766,1.596948366,0.361525813,7.000672609,0.395777106,0.30792893,0,36.83653026,35.46417425,0,12.15832131,206.7103837,49.35600125,37.24391749
Italy,70.32803147,29.53665466,36.34542954,6.574809399,29.51803634,0.223586702,2.631459425,2.671819088,26.1992358,127.1557339,14.54544984,42.17399831,166.7760962,188.7191899,31.72610101
Cyprus,0,22.21143612,44.94364378,0,5.752089321,0,0,0,29.28548549,170.8858133,0.991149414,53.64684836,72.90716922,248.2638462,29.28548549
Latvia,131.5895012,6.809230598,0.308699398,25.88360662,13.25649776,0.703628758,1.591080803,0.075970262,24.17042261,510.2575991,223.030862,0.333303124,175.4768558,737.2814967,26.54110243
Lithuania,13.35024427,47.47018099,5.868284979,11.89342663,9.189955721,0.26930842,0.069927723,0.117316758,45.39146111,233.0195016,214.1720582,17.07519377,87.31553969,464.2667537,45.84801401
Luxembourg,14.06890003,42.67377661,24.40940115,38.61737733,14.17130235,0.317649093,2.126402039,0,215.0203773,57.84505858,169.6168142,7.382460139,131.4967063,234.8443329,217.4644285
Hungary,2.159968879,5.983602826,33.5427907,14.61532556,2.691523059,0.073995249,1.013911089,0.008808958,29.15493241,177.6161369,17.85733289,2.244609064,57.89649571,198.164512,30.25164771
Malta,0,0.009663054,42.64172577,0,1.205049512,0.060143701,0,0,20.9048634,14.39534002,0,31.5358901,43.79629463,61.51289244,20.96500709
Netherlands,0.436532636,93.78405749,56.56128831,38.67142155,11.44788347,0.969983321,1.471737828,0,36.06371491,66.1832194,28.54424946,22.1423989,198.4594623,119.4863593,38.50543606
Austria,407.3440107,69.00674035,26.78492162,33.91574491,9.342523263,0.101240656,13.53027068,9.633773539,51.49084353,400.4537234,127.334528,47.54809972,523.1286559,578.1700681,74.7561284
Poland,5.281565067,37.58113495,8.940317779,14.53924619,3.774638648,0.02078868,1.050461841,0.035342388,29.5901155,198.8173623,14.83384719,9.780763729,69.01030972,223.4652085,30.69670841
Portugal,101.8991431,108.8726679,18.67904173,28.31757235,6.592266533,0.078740101,2.015579558,0.023989757,33.03628616,185.0173225,0,73.27572905,262.2423821,259.8200426,35.15459558
Romania,72.4381352,33.71268166,7.627555203,2.596660079,0.326560654,0.358439852,2.19868868,0.092097337,25.81859841,185.6972491,4.985475293,0,114.0523669,190.6843926,24.84927805
Slovenia,188.456227,0.245482757,18.47374584,6.899385285,4.413797994,0.049638297,3.005172461,0.089630985,48.60244237,264.0035182,22.95876576,27.66143588,215.3441972,314.6237198,51.74688411
Slovakia,67.7344638,0.091938431,10.56738627,20.86704443,8.173581931,0.08702163,1.622083182,0.330682194,29.40044665,197.8163509,32.1262664,12.67125681,105.3946279,242.6064373,31.44023365
Finland,229.4577173,130.7866765,4.622858725,196.83142,-11.5703643,1.392850997,4.078220503,0,119.9679858,897.2847992,366.1689769,103.6027553,544.6572367,1370.197971,125.4390573
Sweden,558.0498568,237.8237734,12.64174318,92.56804606,15.20373666,8.454535368,15.09780601,0,139.8727161,534.1588777,327.4969925,152.2561347,892.7348147,1065.270896,163.4250575
Iceland,3197.863001,5.486091206,0,0,1352.66474,9.715669128,0,0,84.84457364,190.8004324,2340.905193,0,4546.298163,2532.196384,76.61929258
Norway,2339.950028,191.5484429,2.783452739,0.468121865,2.859176458,24.3016044,9.473471117,0,68.03340916,156.8565434,36.73646601,109.7112403,2503.834145,308.1070689,101.8084847
